epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5424,1.55897,2.62609,1.6359,0.17729,0.10879,0.04279,0.0171,2.72521,8.90878,2.9091,0.070184,0.00331288,0.00331288
2,89.4779,1.54184,2.30769,1.64167,0.15415,0.16538,0.10099,0.03581,2.50513,5.98701,2.73319,0.0401183,0.00658042,0.00658042
3,128.975,1.50924,2.21924,1.61499,0.33405,0.16663,0.15665,0.06459,2.39959,6.33934,2.58573,0.00998645,0.00978196,0.00978196
4,167.508,1.45701,2.07226,1.57509,0.38769,0.25301,0.20404,0.07861,2.28788,4.18391,2.4233,0.009703,0.009703,0.009703
5,206.219,1.43195,2.01252,1.5549,0.42461,0.3214,0.28584,0.1162,2.20083,2.87498,2.28907,0.009604,0.009604,0.009604
6,244.327,1.39104,1.9578,1.53158,0.53394,0.30031,0.27783,0.11999,2.14969,2.92923,2.2396,0.009505,0.009505,0.009505
7,283.346,1.37713,1.8725,1.51379,0.44498,0.2699,0.26044,0.10511,2.17945,4.05474,2.31824,0.009406,0.009406,0.009406
8,323.05,1.34122,1.82273,1.49621,0.49194,0.33907,0.32198,0.11985,2.24049,2.61262,2.3679,0.009307,0.009307,0.009307
9,362.803,1.31502,1.76039,1.47812,0.56421,0.31368,0.33452,0.14411,2.1275,2.45653,2.23814,0.009208,0.009208,0.009208
10,400.345,1.3257,1.7499,1.47998,0.42153,0.38704,0.359,0.15899,1.96678,2.34784,2.07949,0.009109,0.009109,0.009109
11,436.568,1.31088,1.72074,1.46793,0.50632,0.37993,0.38349,0.1658,2.17342,2.289,2.234,0.00901,0.00901,0.00901
12,471.875,1.29505,1.6963,1.4556,0.47526,0.39381,0.37403,0.16729,2.01852,2.10588,2.14046,0.008911,0.008911,0.008911
13,507.403,1.28288,1.63733,1.44038,0.52587,0.39427,0.38332,0.17769,2.04665,2.43925,2.1426,0.008812,0.008812,0.008812
14,542.957,1.27061,1.62242,1.44037,0.64724,0.39597,0.4469,0.19979,1.98226,1.87717,2.0529,0.008713,0.008713,0.008713
15,578.363,1.25811,1.57064,1.41993,0.5978,0.43715,0.45792,0.19888,2.0514,1.82343,2.11196,0.008614,0.008614,0.008614
16,613.848,1.24958,1.57332,1.41506,0.56094,0.4251,0.4089,0.17304,2.05065,2.16557,2.15368,0.008515,0.008515,0.008515
17,652.017,1.24607,1.52704,1.40961,0.61339,0.45638,0.47908,0.21313,1.98711,1.79576,2.00573,0.008416,0.008416,0.008416
18,692.202,1.23933,1.5299,1.40515,0.6717,0.41385,0.47162,0.19982,2.07366,1.86572,2.05349,0.008317,0.008317,0.008317
19,729.458,1.23749,1.50145,1.39613,0.55501,0.4927,0.47704,0.21849,1.95641,1.94892,2.04054,0.008218,0.008218,0.008218
20,765.485,1.21587,1.47436,1.39278,0.62263,0.44456,0.4616,0.20028,2.11588,1.85879,2.13244,0.008119,0.008119,0.008119
21,801.48,1.21132,1.44856,1.37911,0.63703,0.4694,0.50439,0.24659,1.87059,1.7575,1.93966,0.00802,0.00802,0.00802
22,837.112,1.19759,1.44901,1.37981,0.65749,0.49658,0.54366,0.25473,1.90407,1.68042,1.93539,0.007921,0.007921,0.007921
23,877.576,1.22101,1.42435,1.37981,0.64429,0.53418,0.55064,0.24359,2.00282,1.60372,1.99527,0.007822,0.007822,0.007822
24,918.252,1.18997,1.40947,1.36903,0.57204,0.50273,0.50229,0.2303,1.9194,1.73134,1.9479,0.007723,0.007723,0.007723
